tier,title,name,game,url,start_date,end_date,is_multi_day,prize,region,location,n_participants,first_place,second_place,first_place_abbrv,second_place_abbrv,first_place_has_page,second_place_has_page,scrape_time
A,2017,HCS Pro League EU 2017 Summer: Regular Season,Halo 5: Guardians,https://liquipedia.net/halo/Halo_Championship_Series/Pro_League/2017/Europe/Summer,2017-06-01,2017-06-22,TRUE,33000,Europe,"Online, Europe",6,Team Infused,Invictus,INF,INV,FALSE,TRUE,2021-12-30T14:52:33Z
A,2017,HCS Pro League NA 2017 Summer: Regular Season,Halo 5: Guardians,https://liquipedia.net/halo/Halo_Championship_Series/Pro_League/2017/North_America/Summer,2017-05-24,2017-06-22,TRUE,50000,North America,"Online, North America",8,OpTic Gaming,Splyce,OpTic,SPY,FALSE,FALSE,2021-12-30T14:52:33Z
A,2017,UMG Daytona 2017,Halo 5: Guardians,https://liquipedia.net/halo/Halo_Championship_Series/2017/Daytona,2017-05-12,2017-05-14,TRUE,75000,United States,"Daytona, United States",16,Team EnVyUs,OpTic Gaming,Envy,OpTic,FALSE,FALSE,2021-12-30T14:52:33Z
A,2017,Halo World Championship 2017 - Latin America,Halo 5: Guardians,https://liquipedia.net/halo/Halo_World_Championship/2017/Latin_America,2017-02-24,2017-02-26,TRUE,20000,Mexico,"Mexico City, Mexico",18,Shock The World,Synergy Gaming,sTw,SYN,FALSE,TRUE,2021-12-30T14:52:33Z
A,2017,Halo World Championship 2017 - Oceania,Halo 5: Guardians,https://liquipedia.net/halo/Halo_World_Championship/2017/Oceania,2017-02-25,2017-02-25,FALSE,1000,Oceania,"Online, Oceania",16,Team Immunity,Gryffindor,iM,Gryffindor,FALSE,TRUE,2021-12-30T14:52:33Z
A,2017,Halo World Championship 2017 - Europe,Halo 5: Guardians,https://liquipedia.net/halo/Halo_World_Championship/2017/Europe,2017-02-17,2017-02-19,TRUE,25000,United Kingdom,"London, United Kingdom",28,FAB Games eSports,Supremacy,FAB,SY,FALSE,FALSE,2021-12-30T14:52:33Z
A,2017,UGC St. Louis 2017,Halo 5: Guardians,https://liquipedia.net/halo/Halo_World_Championship/2017/St._Louis,2017-01-20,2017-01-22,TRUE,50000,United States,"St. Louis, United States",16,OpTic Gaming,Team Liquid,OpTic,TL,FALSE,FALSE,2021-12-30T14:52:33Z
A,2016,HCS Pro League NA 2016 Fall: Finals,Halo 5: Guardians,https://liquipedia.net/halo/Halo_Championship_Series/Pro_League/2016/North_America/Fall/Finals,2016-12-11,2016-12-11,FALSE,150000,United States,"Burbank, United States",4,Team EnVyUs,OpTic Gaming,Envy,OpTic,FALSE,FALSE,2021-12-30T14:52:33Z
A,2016,HCS Pro League EU 2016 Fall Finals,Halo 5: Guardians,https://liquipedia.net/halo/Halo_Championship_Series/Pro_League/2016/Europe/Fall/Finals,2016-12-04,2016-12-04,FALSE,67000,United Kingdom,"Leicester, United Kingdom",4,FAB Games eSports,Team Infused,FAB,INF,FALSE,FALSE,2021-12-30T14:52:33Z
A,2016,HCS Pro League EU 2016 Fall: Regular Season,Halo 5: Guardians,https://liquipedia.net/halo/Halo_Championship_Series/Pro_League/2016/Europe/Fall/Regular_Season,2016-09-28,2016-11-03,TRUE,33000,Europe,"Online, Europe",6,FAB Games eSports,Team Vibe,FAB,Vibe,FALSE,FALSE,2021-12-30T14:52:33Z
